Mario Is Missing! (USA).zip|Mario Is Missing|马里奥失踪记
Alien 3.zip|Alien 3|异形3
Alien 3 (USA).zip|Alien 3 (USA)|异形3（美）
Alien Syndrome (Japan).zip|Alien Syndrome (Japan)|异形特攻队（日）
Alien Syndrome (USA) (Unl).zip|Alien Syndrome (USA) (Unl)|异形特攻队（美）
Alien war.zip|Alien war|外星人战争
All-Pro Basketball (USA).zip|All-Pro Basketball (USA)|全美职业篮球
All-Star Softball.zip|All-Star Softball|全明星棒球赛
Alpha Mission (Europe).zip|Alpha Mission (Europe)|阿尔法任务 - 装甲争夺战（欧）
Alpha Mission (USA).zip|Alpha Mission (USA)|阿尔法任务 - 装甲争夺战（美）
Altman's final battle.zip|Altman's final battle|奥特曼最终决战
Al Unser Jr. Turbo Racing (USA).zip|Al Unser Jr. Turbo Racing (USA)|涡轮大赛车
Amagon (USA).zip|Amagon (USA)|荒岛落难记
America Daitouryou Senkyo (Japan).zip|America Daitouryou Senkyo (Japan)|美国大总统
American billiard.zip|American billiard|美国台球
American Dream (Japan).zip|American Dream (Japan)|美利坚之梦
American dream.zip|American dream|美利坚之梦
American Gladiators (USA).zip|American Gladiators (USA)|美国斗士
American ice hockey.zip|American ice hockey|美式冰球
American Revenge.zip|American Revenge|复仇者
American soldiers.zip|American soldiers|前进巴格达
America Oudan Ultra Quiz - Shijou Saidai no Tatakai (Japan).zip|America Oudan Ultra Quiz - Shijou Saidai no Tatakai (Japan)|美国横断问答 - 史上最大之争战
Angel Wings 1.zip|Angel Wings 1|天使之翼1
Angel Wings 2.zip|Angel Wings 2|天使之翼2
Angel Wings.zip|Angel Wings|天使之翼
Angry bird.zip|Angry bird|愤怒的小鸟
Angry black ninja.zip|Angry black ninja|愤怒的黑忍者
Ankoku Shinwa - Yamato Takeru Densetsu (Japan).zip|Ankoku Shinwa - Yamato Takeru Densetsu (Japan)|黑暗神话:日本武尊传说
Antarctic pengu.zip|Antarctic pengu|南极企鹅
Anticipation (Europe).zip|Anticipation (Europe)|看图猜谜（欧）
Anticipation (USA).zip|Anticipation (USA)|看图猜谜（美）
Anti-drug guard.zip|Anti-drug guard|禁毒警戒
Anti-drug police.zip|Anti-drug police|禁毒警察
Anti-fighting.zip|Anti-fighting|反战
Anti-gravity fighter.zip|Anti-gravity fighter|反重力战机
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan).zip|Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)|苍狼与白鹿 - 成吉思汗
Aoki Ookami to Shiroki Mejika - Genghis Khan (Japan).zip|Aoki Ookami to Shiroki Mejika - Genghis Khan (Japan)|苍狼与白鹿 - 成吉思汗
Arabian Dream Scheherazade (Japan).zip|Arabian Dream Scheherazade (Japan)|阿拉伯之梦
Arcade 4 in 1.zip|Arcade 4 in 1|格斗4合1
Arcadia VI (USA) (Proto).zip|Arcadia VI (USA) (Proto)|阿卡迪亚六世(美版)
Archon (USA).zip|Archon (USA)|大主教(美版)
Arch Rivals - A Basketbrawl! (Europe).zip|Arch Rivals - A Basketbrawl! (Europe)|双人篮球（欧）
Arch Rivals - A Basketbrawl! (USA).zip|Arch Rivals - A Basketbrawl! (USA)|双人篮球（美）
Arctic.zip|Arctic|北极星
A Ressha de Ikou (Japan).zip|A Ressha de Ikou (Japan)|铁路A计划
Argos no Senshi (Japan).zip|Argos no Senshi (Japan)|未来战士（日）
Argos Warrior (Chinese version).zip|Argos Warrior (Chinese version)|未来战士（中）
Argus (Japan).zip|Argus (Japan)|百眼巨神
Arithmetic 1st grade.zip|Arithmetic 1st grade|一年级算术
Arithmetic 2nd grade.zip|Arithmetic 2nd grade|二年级算术
Arithmetic 4th grade.zip|Arithmetic 4th grade|四年级算术
Arkanoid (Japan).zip|Arkanoid (Japan)|打砖块（日）
Arkanoid.zip|Arkanoid|打砖块
Arkanoid (USA).zip|Arkanoid (USA)|打砖块（美）
Arkista's Ring (USA).zip|Arkista's Ring (USA)|异域诛魂
Armadillo (Japan).zip|Armadillo (Japan)|穿山甲小子
Artelius (Japan).zip|Artelius (Japan)|阿耳特弥斯女神
Asmik-kun Land (Japan).zip|Asmik-kun Land (Japan)|阿斯米君世界
ASO - Armored Scrum Object (Japan) (En) (Sample).zip|ASO - Armored Scrum Object (Japan) (En) (Sample)|阿尔法任务2
Asterix (Europe) (En-Fr-De-Es-It).zip|Asterix (Europe) (En-Fr-De-Es-It)|幻想新国度
Astro Boy.zip|Astro Boy|铁臂阿童木
Astro Fang - Super Machine (Japan).zip|Astro Fang - Super Machine (Japan)|冲锋飞车 - 超级装置
Astro Robo Sasa (Japan).zip|Astro Robo Sasa (Japan)|漂浮枪手
Astyanax (Europe).zip|Astyanax (Europe)|斧头战士（欧）
Astyanax (USA) (Beta).zip|Astyanax (USA) (Beta)|斧头战士（美）
Astyanax (USA).zip|Astyanax (USA)|斧头战士（美）
Athena (Japan).zip|Athena (Japan)|雅典娜（日）
Athena.zip|Athena|雅典娜
Athena (USA).zip|Athena (USA)|雅典娜（美）
Athletic World (Europe).zip|Athletic World (Europe)|田径世界（欧）
Attack Animal Gakuen (Japan).zip|Attack Animal Gakuen (Japan)|攻击动物学园
Attacking animal school.zip|Attacking animal school|攻击动物学园
Attack of the Killer Tomatoes (Europe).zip|Attack of the Killer Tomatoes (Europe)|番茄杀手（欧）
Attack of the Killer Tomatoes (USA).zip|Attack of the Killer Tomatoes (USA)|番茄杀手（美）
Attack on Bogling Harbour.zip|Attack on Bogling Harbour|袭击博格林港
Aussie Rules Footy (Australia).zip|Aussie Rules Footy (Australia)|澳洲橄榄球大赛
Authentic warfare (Chinese version).zip|Authentic warfare (Chinese version)|真实战争(中文版)
Auto-Upturn (Asia) (PAL) (Unl).zip|Auto-Upturn (Asia) (PAL) (Unl)|自转拼图(亚洲版)
AV Hanafuda Club (Japan) (Unl).zip|AV Hanafuda Club (Japan) (Unl)|花札俱乐部
AV Kyuukyoku Mahjong 2 (Asia) (Unl).zip|AV Kyuukyoku Mahjong 2 (Asia) (Unl)|究极麻雀2
AV Mahjong Club (Asia) (Unl).zip|AV Mahjong Club (Asia) (Unl)|AV麻雀俱乐部（澳）
AV Mahjong Club (Japan) (Unl).zip|AV Mahjong Club (Japan) (Unl)|AV麻雀俱乐部（日）
AV Soccer (Japan) (Unl).zip|AV Soccer (Japan) (Unl)|AV足球
Dr. Mario (Europe).zip|Dr. Mario (Europe)|马里奥医生（欧）
Dr. Mario (Japan- USA).zip|Dr. Mario (Japan- USA)|马里奥医生（日）
Dr. Mario (Japan- USA) (Rev A).zip|Dr. Mario (Japan- USA) (Rev A)|马里奥医生（美）
Dr. Mario (USA) (Beta) (1990-04-27).zip|Dr. Mario (USA) (Beta) (1990-04-27)|马里奥医生（美）
Dr. Mario (USA) (Beta) (Between 1990-02-02 & 1990-04-27- later).zip|Dr. Mario (USA) (Beta) (Between 1990-02-02 & 1990-04-27- later)|马里奥医生（美）
Mario Bros. Classic (Europe).zip|Mario Bros. Classic (Europe)|玛丽兄弟合集
Mario Bros. (Europe) (Rev A).zip|Mario Bros. (Europe) (Rev A)|玛丽兄弟（欧）
Mario Bros. (USA) (GameCube Edition).zip|Mario Bros. (USA) (GameCube Edition)|玛丽兄弟（美）
Mario Bros. (World).zip|Mario Bros. (World)|玛丽兄弟
Mario Is Missing! (Europe).zip|Mario Is Missing! (Europe)|马里奥失踪记（欧）
Mario Open Golf (Japan).zip|Mario Open Golf (Japan)|玛丽高尔夫公开赛（日）
Mario Open Golf (Japan) (Rev A).zip|Mario Open Golf (Japan) (Rev A)|玛丽高尔夫公开赛
Mario's Time Machine (USA).zip|Mario's Time Machine (USA)|马里奥时间机器
Mario & Yoshi (Europe).zip|Mario & Yoshi (Europe)|马里奥和耀西
Super Mario Bros. 2 (Europe).zip|Super Mario Bros. 2 (Europe)|超级玛丽2（欧）
Super Mario Bros. 2 (USA) (Beta).zip|Super Mario Bros. 2 (USA) (Beta)|超级玛丽2（美）（beta）
Super Mario Bros. 2 (USA).zip|Super Mario Bros. 2 (USA)|超级玛丽2（美）
Super Mario Bros. 2 (USA) (Rev A).zip|Super Mario Bros. 2 (USA) (Rev A)|超级玛丽2（美）(Rev A)
Super Mario Bros. 3 (Europe).zip|Super Mario Bros. 3 (Europe)|超级玛丽3（欧）
Super Mario Bros. 3 (Europe) (Wii Virtual Console).zip|Super Mario Bros. 3 (Europe) (Wii Virtual Console)|超级玛丽3（欧）自制
Super Mario Bros. 3 (Japan).zip|Super Mario Bros. 3 (Japan)|超级玛丽3（日）
Super Mario Bros. 3 (Japan) (Rev A).zip|Super Mario Bros. 3 (Japan) (Rev A)|超级玛丽3（日）(Rev A)
Super Mario Bros. 3 (USA).zip|Super Mario Bros. 3 (USA)|超级玛丽3（美）
Super Mario Bros. 3 (USA) (Rev A).zip|Super Mario Bros. 3 (USA) (Rev A)|超级玛丽3（美）(Rev A)
Super Mario Bros. + Duck Hunt (Europe).zip|Super Mario Bros. + Duck Hunt (Europe)|超级玛丽+打鸭子（欧）
Super Mario Bros. + Duck Hunt (USA).zip|Super Mario Bros. + Duck Hunt (USA)|超级玛丽+打鸭子（美）
Super Mario Bros. + Duck Hunt + World Class Track Meet (USA).zip|Super Mario Bros. + Duck Hunt + World Class Track Meet (USA)|超级玛丽+打鸭子+世界田径运动会
Super Mario Bros. + Duck Hunt + World Class Track Meet (USA) (Rev A).zip|Super Mario Bros. + Duck Hunt + World Class Track Meet|超级玛丽+打鸭子+世界田径运动会（美）
Super Mario Bros. + Tetris + Nintendo World Cup (Europe) (Rev A).zip|Super Mario Bros. + Tetris + Nintendo World Cup (Europe) (Rev A)|超级马里奥兄弟+俄罗斯方块+任天堂世界杯
Super Mario USA (Japan).zip|Super Mario USA (Japan)|超级马里奥USA?
Babel no Tou (Japan).zip|Babel no Tou (Japan)|巴比伦塔
Baby Boomer (USA) (Unl).zip|Baby Boomer (USA) (Unl)|婴儿潮世代
Back to the future II + III.zip|Back to the future II + III|回到未来第二和第三部分
back to the Future.zip|back to the Future|回到未来
Back to the Future Part II & III (USA).zip|Back to the Future Part II & III (USA)|回到未来第二和第三部分
Back to the Future (USA).zip|Back to the Future (USA)|回到未来
Bad Dudes (USA).zip|Bad Dudes (USA)|龙忍者
Bad Dudes vs. Dragon Ninja (Europe).zip|Bad Dudes vs. Dragon Ninja (Europe)|龙行忍者
Bad News Baseball (USA).zip|Bad News Baseball (USA)|激斗棒球
Bad Street Brawler (USA).zip|Bad Street Brawler (USA)|黑街斗争
Bai Qingge.zip|Bai Qingge|爬金库
Baken Hisshou Gaku - Gate In (Japan).zip|Baken Hisshou Gaku - Gate In (Japan)|马券必胜学
Bakushou!! Ai no Gekijou (Japan).zip|Bakushou!! Ai no Gekijou (Japan)|爆笑愛の劇場
Bakushou!! Jinsei Gekijou 2 (Japan).zip|Bakushou!! Jinsei Gekijou 2 (Japan)|爆笑愛の劇場2
Bakushou!! Jinsei Gekijou (Japan).zip|Bakushou!! Jinsei Gekijou (Japan)|爆笑愛の劇場
Bakushou! Star Monomane Shitennou (Japan).zip|Bakushou! Star Monomane Shitennou (Japan)|爆笑四天王
Ballblazer (Japan).zip|Ballblazer (Japan)|滚球大战
Balloon Battle [Chinese version].zip|Balloon Battle [Chinese version]|气球战
Balloon battle.zip|Balloon battle|气球战
Baltron (Japan) (Beta).zip|Baltron (Japan) (Beta)|巴特龙战机
Baltron (Japan).zip|Baltron (Japan)|巴特龙战机
Banana (Japan) (Beta) (1986-06-30).zip|Banana (Japan) (Beta) (1986-06-30)|香蕉
Banana (Japan).zip|Banana (Japan)|香蕉
Bananan Ouji no Daibouken (Japan).zip|Bananan Ouji no Daibouken (Japan)|香蕉王子大冒险
Banana Prince Adventure.zip|Banana Prince Adventure|香蕉王子大冒险
Banana Prince (Germany).zip|Banana Prince (Germany)|香蕉王子大冒险（德）
Bandai Golf - Challenge Pebble Beach (USA).zip|Bandai Golf - Challenge Pebble Beach (USA)|万岱高尔夫?- 圆石滩球场邀请赛
Bandit Kings of Ancient China (USA).zip|Bandit Kings of Ancient China (USA)|水浒传 - 天命之誓
Barbie (Europe).zip|Barbie (Europe)|芭比娃娃（欧）
Barbie (USA).zip|Barbie (USA)|芭比娃娃（美）
Barbie (USA) (Rev A).zip|Barbie (USA) (Rev A)|芭比娃娃（美）
Barcelona Olympics 92.zip|Barcelona Olympics 92|巴塞罗那奥运92
Barcode World (Japan).zip|Barcode World (Japan)|条码世界
Bard's Tale- The (Japan).zip|Bard's Tale- The (Japan)|冰城传奇（日）
Bard's Tale- The (Japan) (Sample).zip|Bard's Tale- The (Japan) (Sample)|冰城传奇
Bard's Tale- The - Tales of the Unknown (USA) (Beta 1).zip|Bard's Tale- The - Tales of the Unknown (USA) (Beta 1)|冰城传奇:未知的故事
Bard's Tale- The - Tales of the Unknown (USA) (Beta 2).zip|Bard's Tale- The - Tales of the Unknown (USA) (Beta 2)|冰城传奇:未知的故事
Bard's Tale- The (USA).zip|Bard's Tale- The (USA)|冰城传奇（美）
Barker Bill's Trick Shooting (Europe).zip|Barker Bill's Trick Shooting (Europe)|伯克比尔之戏法射击秀（欧）
Baseball Fighter (Japan).zip|Baseball Fighter (Japan)|棒球大战
Baseball simulation 1000.zip|Baseball simulation 1000|棒球1000
Baseball Simulator 1.000 (USA).zip|Baseball Simulator 1.000 (USA)|棒球1000
Baseball Star - Mezase Sankanou!! (Japan).zip|Baseball Star - Mezase Sankanou!! (Japan)|棒球之星 - 迈向三冠王
Baseball Stars II (USA).zip|Baseball Stars II (USA)|棒球之星2
Baseball Stars (USA).zip|Baseball Stars (USA)|棒球之星
Baseball warrior.zip|Baseball warrior|棒球勇士
Bases Loaded II - Second Season (USA).zip|Bases Loaded II - Second Season (USA)|明星棒球2
Bases Loaded (USA).zip|Bases Loaded (USA)|明星棒球
Bases Loaded (USA) (Rev A).zip|Bases Loaded (USA) (Rev A)|明星棒球
Bases Loaded (USA) (Rev B).zip|Bases Loaded (USA) (Rev B)|明星棒球
Bashi Bazook - Morphoid Masher (USA) (Proto).zip|Bashi Bazook - Morphoid Masher (USA) (Proto)|生化战士 DAN
Basketball enemies.zip|Basketball enemies|篮球对手
Bastu and Taylor.zip|Bastu and Taylor|巴斯图和泰勒
Batman (Chinese version).zip|Batman (Chinese version)|蝙蝠侠（中）
Batman (Japan).zip|Batman (Japan)|蝙蝠侠（日）
Batman.zip|Batman|蝙蝠侠
Batman - Return of the Joker (Europe).zip|Batman - Return of the Joker (Europe)|蝙蝠侠-小丑的复仇（欧）
Batman - Return of the Joker (USA) (Beta).zip|Batman - Return of the Joker (USA) (Beta)|蝙蝠侠-小丑的复仇（美）
Batman - Return of the Joker (USA).zip|Batman - Return of the Joker (USA)|蝙蝠侠-小丑的复仇（美）
Batman Returns (Europe).zip|Batman Returns (Europe)|蝙蝠侠归来（欧）
Batman returns.zip|Batman returns|蝙蝠侠归来
Batman Returns (Unknown) (Beta).zip|Batman Returns (Unknown) (Beta)|蝙蝠侠归来
